Player_Name,Number,Category,Rank,Conference,Institution,State,Division,Position,Photo
Nicole Domínguez,521,digs,5,Sunshine State Conference,University of Tampa,Florida,NCAA DII,DS / L,University of Tampa Athletics
Natalia García,320,digs,8,East Coast Conference,Mercy College,New York,NCAA DII,Setter,Mercy College Athletics
Andrea Serra,414,digs,10,Northeast-10 Conference,American International College,Massachusetts,NCAA DII,OH / RSH,RJB Sports
Anagabrielle Sánchez,495,digs,2,New England Women's and Men's Athletic Conference,Springfield College,Massachusetts,NCAA DIII,DS / L,Springfield College Athletics
Kiana Pérez Díaz,399,digs,6,Great Northeast Athletic Conference,Lasell University,Massachusetts,NCAA DIII,OH / RSH,Lasell University Athletics
Vianca Vital,390,digs,6,Skyline Conference,Manhattanville College,New York,NCAA DIII,Setter,Mike McLaughlin
Patricia Martínez,362,digs,7,Landmark Conference,Catholic University of America,Washington D.C.,NCAA DIII,OH / RSH,Catholic University Athletics
Victoria Alomar,331,digs,9,Little East Conference,Western Connecticut State University,Connecticut,NCAA DIII,DS / L,WestConn Athletics
Yorelis Ríos González,5.44,digs/set,1,The Sun Conference,College of Coastal Georgia,Georgia,NAIA,DS / L,Coastal Georgia Athletics
Keisha Santana Roldán,4.93,digs/set,1,The Sun Conference,Florida Memorial University,Florida,NAIA,DS / L,FMU Athletics
Karla Seda,5.37,digs/set,1,Metro Atlantic Athletic Conference,Saint Peter's University,New Jersey,NCAA DI,DS / L,Beth Lochner
Sharlissa de Jesús,0.44,digs/set,1,Southern Conference,The Citadel,South Carolina,NCAA DI,OH / RSH,The Citadel Sports
Lina Bernier,5.19,digs/set,2,Conference USA,Florida International University,Florida,NCAA DI,DS / L,Michael Berlfein | FIU Athletics
Jennevy Santos,4.43,digs/set,2,Mid-Eastern Athletic Conference,Morgan State University,Maryland,NCAA DI,DS / L,Lawrence Johnson
Andrea Laboy Rivera,4.26,digs/set,3,Mid-Eastern Athletic Conference,North Carolina A&T,North Carolina,NCAA DI,DS / L,Kevin L. Dorsey
Kizzy Rodríguez,4.63,digs/set,3,Northeast Conference,St. Francis College,New York,NCAA DI,DS / L,St. Francis Brooklyn College Athletics
