Rank,Player,School,Cl,Ht,Pos,S,Digs
273,Kendal Meier,Illinois St. (MVC),Jr.,5-6,DS,85,370
273,Emma Smith,California (Pac-12),Sr.,5-8,DS,109,370
275,Jasmal CRUZ,Delaware St. (MEAC),---,0-0,,99,368
275,Kaylee Hanger,North Dakota St. (Summit League),So.,5-8,L/DS,108,368
275,Georgia Murphy,Oregon (Pac-12),Fr.,5-6,L,113,368
278,Laney Malloy,Southeast Mo. St. (OVC),Jr.,6-0,OH,129,367
278,Mackenzie Marcum,USC Upstate (Big South),So.,5-6,L/DS,101,367
278,Alexis Warren,Northwestern St. (Southland),Sr.,5-10,OH,115,367
281,Lainey Stephenson,Wright St. (Horizon),So.,5-11,S,111,366
282,Catelyn Linke,Eastern Wash. (Big Sky),Jr.,5-8,L,79,365
282,Ashlyn Power,Weber St. (Big Sky),Jr.,5-8,S,133,365
284,Madison Cunningham,Eastern Ill. (OVC),Jr.,5-8,L/DS,88,364
284,Ashley Lewis,Sam Houston St. (Southland),Jr.,6-0,OH,134,364
286,Kelsey Knudsen,Saint Mary's (CA) (WCC),So.,5-8,L/DS,106,363
287,Nicole Lennon,Rice (C-USA),Jr.,6-2,OH,105,362
288,Bayle' Bennett,Alabama St. (SWAC),Sr.,5-10,OH,141,361
288,Gabby DePersio,Western Ill. (Summit League),Fr.,5-3,L/DS,107,361
288,Claire Ochs,Southeast Mo. St. (OVC),So.,5-10,S,129,361
288,Puaoolelagi Sao,Eastern Wash. (Big Sky),Jr.,5-6,DS,112,361
292,Julia Bergmann,Georgia Tech (ACC),Fr.,6-5,OH,123,360
292,Alex Lucero,Hartford (America East),So.,5-7,L/DS,105,360
292,Savannah Matthews,Kent St. (MAC),Fr.,5-10,OH,112,360
295,Emily DeGeorge,Cleveland St. (Horizon),Jr.,5-9,OH,108,359
295,Maria Mallon,Cincinnati (AAC),So.,5-9,OH,119,359
297,Jessica Pugh,Hampton (Big South),So.,5-7,L/DS,95,358
297,Natalie Risi,Ball St. (MAC),Fr.,6-0,OH,126,358
299,Sarah Kushner,Illinois St. (MVC),Fr.,5-10,OH,132,357
299,Ashleigh Traylor,Sam Houston St. (Southland),Sr.,5-8,DS,134,357
